book,author,country,region
Her Body and Other Parties,"Machado, Carmen Maria",USA,
The Sad Part Was,"Yoon, Prabda",Thailand,
The Elephant in the Room,"Collective, The Spring",India,
"Tiny, Smiling Daddy","Gaitskill, Mary",USA,
Jukebox,"Chanani, Nidhi",India,Kashmir
Rumi,Rumi,Iran,
The Unlikely Adventures of the Shergill Sisters,"Jaswal, Balli Kaur",India,Punjab
How to Do Nothing,"Odell, Jenny",USA,
The Miraculous True History of Nomi Ali,"Khan, Uzma Aslam",India,Andaman Islands
The Atmospherians,"McElroy, Isle",USA,
Pure Colour,"Heti, Sheila",Canada,
Sakina's Kiss,"Shanbhag, Vivek",India,Karnataka
The Paradise of Food,"Jawed, Khalid",India,Delhi
Let's talk Feelings,"Thennakoon, Kavindya",Sri Lanka,
Bodies & Boundaries,"Thennakoon, Kavindya",Sri Lanka,
